seq_id,cluster
d2ej7a1,0
d2ctra1,0
d2ctpa1,0
d2dmxa1,0
d2yuaa1,0
d2cuga1,0
d2ocha_,0
d6rzya1,0
d3ag7a1,0
d1fxkc_,0
d1fxka_,0
d1cxzb_,0
d1urfa1,0
d4nkgb_,0
d1seta1,0
d2iy5a1,0
d1eiya1,0
d1ivsa1,0
d1lrza1,0
d6p24c1,0
d1k4ta1,0
d1qoja_,0
d1e52a_,0
d2hldh2,0
d2hldq2,0
d2jdih1,0
d2ck3h1,0
d1aqta1,0
d1uera1,0
d1bsma1,0
d1coja1,0
d1unfx1,0
d2nyba1,0
d1ma1a1,0
d1idsa1,0
d1dt0a1,0
d3sdpa1,0
d1p7ga1,0
d1b06a1,0
d1my6a1,0
d1gv3a1,0
d1kkca1,0
d1jr9a1,0
d1ix9a1,0
d2p4ka1,0
d1mnga1,0
d3kkya1,0
d1sssa3,0
d6j55a1,0
d4ffka1,0
d3ak2a1,0
d2w7wa1,0
d3js4a1,0
d1xrea1,0
d1xuqa1,0
d4yeta1,0
d2rcva1,0
d4f6ea1,0
d4br6a1,0
d3tjta1,0
d3tqja1,0
d3h1sa1,0
d6proa1,0
d3ceia1,0
d5tira1,0
d4f2na1,0
d2awpa1,0
d6s0da1,0
d3dc6c1,0
d2cw2a1,0
d2cw3a1,0
d2a03a1,0
d2goja1,0
d3lioa1,0
d6gsca1,0
d5a9ga1,0
d6qv8a1,0
d6qv9a1,0
d5x2ja1,0
d4yipa1,0
d4yioa1,0
d4dvha1,0
d4h3ea1,0
d2gpca1,0
d3esfa1,0
d6beja1,0
d4guna1,0
d1pv0a_,0
d3fyra_,0
d3fyrc_,0
d3d36c_,0
d1us6a_,0
d1us6b_,0
d2hjda_,0
d1tjla1,0
d5gmkh_,0
d1x4ta1,0
d2a26a1,0
d1ysma1,0
d2f6ma2,0
d2caza1,0
d2f6mb2,0
d2cazb1,0
d2f66c1,0
d2cazc1,0
d6vmee_,0
d1z0pa1,0
d1z0jb1,0
d1yzma1,0
d1z0kb1,0
d2g0ua1,0
d2ca5a1,0
d2ca5b_,0
d2x9ca_,0
d6ofga_,0
